HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2000049.fn_usniwot1.005.2006268184521.FparExtra_QC,MOD15A2,A2000049,fn_usniwot1,2006268184521,FparExtra_QC,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,00100000,00100000,10100000,00100000,00100000,00110000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00110000,00110000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,00100000,10100000,10100000,10100000,10100000,00100000
MOD15A2.A2000049.fn_usniwot1.005.2006268184521.FparLai_QC,MOD15A2,A2000049,fn_usniwot1,2006268184521,FparLai_QC,01101001,01101001,01101001,01101001,01101001,01101001,00001000,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,00001000,01101001,01101001,01101001
MOD15A2.A2000049.fn_usniwot1.005.2006268184521.FparStdDev_1km,MOD15A2,A2000049,fn_usniwot1,2006268184521,FparStdDev_1km,248,248,248,248,248,248,0,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,0,248,248,248
MOD15A2.A2000049.fn_usniwot1.005.2006268184521.Fpar_1km,MOD15A2,A2000049,fn_usniwot1,2006268184521,Fpar_1km,1,1,2,2,2,2,6,1,3,2,4,4,4,3,2,3,5,4,4,2,2,2,2,3,2,1,2,2,2,3,3,2,1,2,3,2,2,3,2,2,2,2,2,2,2,6,2,3,2
MOD15A2.A2000049.fn_usniwot1.005.2006268184521.LaiStdDev_1km,MOD15A2,A2000049,fn_usniwot1,2006268184521,LaiStdDev_1km,248,248,248,248,248,248,0,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,0,248,248,248
MOD15A2.A2000049.fn_usniwot1.005.2006268184521.Lai_1km,MOD15A2,A2000049,fn_usniwot1,2006268184521,Lai_1km,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MOD15A2.A2000057.fn_usniwot1.005.2006269003740.FparExtra_QC,MOD15A2,A2000057,fn_usniwot1,2006269003740,FparExtra_QC,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,00100000,00100000,10100100,00100000,00100100,00110100,00100100,00100100,00110000,01000000,00110100,00110100,00110100,00110000,00110000,00110000,01000000,01000000,01001000,01001000,01000000,00000000,01000000,01000000,01001000,00001000,01000100,01000000,00000000,00001000,00001000,00001000,00001100,00001100,00000000,00001000,10001000,10001000,11001000,11001000,00001000
MOD15A2.A2000057.fn_usniwot1.005.2006269003740.FparLai_QC,MOD15A2,A2000057,fn_usniwot1,2006269003740,FparLai_QC,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01101001,01100001,01101001,01100001,00000000,01100001,01100001,00010000,01110001,00000000,00000000,00000000,01101001,00010000,00010000,01110001,01100001,01100001,01110001,01110001,00000000,00000000,00000000,01110001,01110001,00000000,01110001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,01100001,00000000,00010000,00000000,00010000,00000000
MOD15A2.A2000057.fn_usniwot1.005.2006269003740.FparStdDev_1km,MOD15A2,A2000057,fn_usniwot1,2006269003740,FparStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,5,248,248,10,248,9,10,9,248,9,9,248,248,248,248,248,7,10,10,248,248,10,248,9,7,9,0,9,9,10,248,5,7,7,5,9
MOD15A2.A2000057.fn_usniwot1.005.2006269003740.Fpar_1km,MOD15A2,A2000057,fn_usniwot1,2006269003740,Fpar_1km,1,1,1,1,2,3,7,7,8,7,12,11,21,39,15,24,38,32,47,38,36,11,36,47,25,28,24,21,28,42,49,39,29,27,38,33,49,44,41,36,46,51,50,23,22,32,28,34,47
MOD15A2.A2000057.fn_usniwot1.005.2006269003740.LaiStdDev_1km,MOD15A2,A2000057,fn_usniwot1,2006269003740,LaiStdDev_1km,248,248,248,248,248,248,248,248,248,248,248,248,248,1,248,248,2,248,3,2,2,248,2,3,248,248,248,248,248,2,3,2,248,248,2,248,3,2,2,0,3,3,3,248,1,2,2,1,3
MOD15A2.A2000057.fn_usniwot1.005.2006269003740.Lai_1km,MOD15A2,A2000057,fn_usniwot1,2006269003740,Lai_1km,0,0,0,0,0,0,1,1,2,1,2,2,4,7,3,5,7,7,9,7,6,2,6,9,5,6,5,4,6,8,10,7,6,6,7,7,9,8,8,6,9,11,10,5,4,6,6,7,9
MOD15A2.A2000089.fn_usniwot1.005.2006262224735.FparExtra_QC,MOD15A2,A2000089,fn_usniwot1,2006262224735,FparExtra_QC,10100100,10100000,10100100,10100100,10100100,10100000,10100100,10100000,00100100,00100100,10100100,00100100,00100100,01000100,00100100,00100100,00110100,00100000,00100000,00100000,00110100,00100100,01000100,00110100,01000000,01000100,01000100,01000100,01000100,01000100,01000000,01000000,01001100,01001100,01001100,01001100,01001100,01001100,00110100,00110000,00110000,00000000,01001100,01000000,11000000,10000000,10000000,10000000,00001000
