 Mon May 16 09:15:07 PDT 2011  NRCS National Water and Climate Center - Provisional Data - subject to revision
Site Id,Date,Time (PST),WTEQ.I-1 (in) ,
663,2004-01-01,,     3.1,
663,2004-01-02,,     3.1,
663,2004-01-03,,     3.4,
663,2004-01-04,,     3.9,
663,2004-01-05,,     3.9,
663,2004-01-06,,     4.0,
663,2004-01-07,,     4.1,
663,2004-01-08,,     4.1,
663,2004-01-09,,     4.3,
663,2004-01-10,,     4.3,
663,2004-01-11,,     4.1,
663,2004-01-12,,     4.1,
663,2004-01-13,,     4.2,
663,2004-01-14,,     4.2,
663,2004-01-15,,     4.2,
663,2004-01-16,,     4.2,
663,2004-01-17,,     4.2,
663,2004-01-18,,     4.3,
663,2004-01-19,,     4.3,
663,2004-01-20,,     4.3,
663,2004-01-21,,     4.4,
663,2004-01-22,,     4.4,
663,2004-01-23,,     4.4,
663,2004-01-24,,     4.4,
663,2004-01-25,,     4.4,
663,2004-01-26,,     4.4,
663,2004-01-27,,     4.4,
663,2004-01-28,,     4.4,
663,2004-01-29,,     4.4,
663,2004-01-30,,     4.4,
663,2004-01-31,,     4.4,
663,2004-02-01,,     5.0,
663,2004-02-02,,     5.1,
663,2004-02-03,,     5.2,
663,2004-02-04,,     5.2,
663,2004-02-05,,     5.6,
663,2004-02-06,,     5.9,
663,2004-02-07,,     5.9,
663,2004-02-08,,     5.9,
663,2004-02-09,,     6.0,
663,2004-02-10,,     6.0,
663,2004-02-11,,     6.0,
663,2004-02-12,,     6.2,
663,2004-02-13,,     6.2,
663,2004-02-14,,     6.2,
663,2004-02-15,,     6.2,
663,2004-02-16,,     6.2,
663,2004-02-17,,     6.2,
663,2004-02-18,,     6.2,
663,2004-02-19,,     6.2,
663,2004-02-20,,     6.7,
663,2004-02-21,,     6.8,
663,2004-02-22,,     6.8,
663,2004-02-23,,     7.0,
663,2004-02-24,,     7.0,
663,2004-02-25,,     7.0,
663,2004-02-26,,     7.0,
663,2004-02-27,,     7.0,
663,2004-02-28,,     7.0,
663,2004-02-29,,     7.1,
663,2004-03-01,,     7.2,
663,2004-03-02,,     7.2,
663,2004-03-03,,     7.4,
663,2004-03-04,,     7.4,
663,2004-03-05,,     7.8,
663,2004-03-06,,     8.2,
663,2004-03-07,,     8.5,
663,2004-03-08,,     8.5,
663,2004-03-09,,     8.5,
663,2004-03-10,,     8.5,
663,2004-03-11,,     8.5,
663,2004-03-12,,     8.5,
663,2004-03-13,,     8.4,
663,2004-03-14,,     8.4,
663,2004-03-15,,     8.4,
663,2004-03-16,,     8.6,
663,2004-03-17,,     8.6,
663,2004-03-18,,     8.6,
663,2004-03-19,,     8.4,
663,2004-03-20,,     8.3,
663,2004-03-21,,     8.1,
663,2004-03-22,,     7.9,
663,2004-03-23,,     7.6,
663,2004-03-24,,     7.4,
663,2004-03-25,,     7.2,
663,2004-03-26,,     7.0,
663,2004-03-27,,     6.6,
663,2004-03-28,,     6.8,
663,2004-03-29,,     7.0,
663,2004-03-30,,     7.2,
663,2004-03-31,,     6.9,
663,2004-04-01,,     6.6,
663,2004-04-02,,     6.4,
663,2004-04-03,,     7.5,
663,2004-04-04,,     7.6,
663,2004-04-05,,     7.5,
