 Mon May 16 09:15:29 PDT 2011  NRCS National Water and Climate Center - Provisional Data - subject to revision
Site Id,Date,Time (PST),WTEQ.I-1 (in) ,
663,1999-01-01,,     2.8,
663,1999-01-02,,     3.1,
663,1999-01-03,,     3.2,
663,1999-01-04,,     3.3,
663,1999-01-05,,     3.3,
663,1999-01-06,,     3.6,
663,1999-01-07,,     3.6,
663,1999-01-08,,     3.6,
663,1999-01-09,,     3.8,
663,1999-01-10,,     3.8,
663,1999-01-11,,     3.9,
663,1999-01-12,,     3.8,
663,1999-01-13,,     3.8,
663,1999-01-14,,     3.8,
663,1999-01-15,,     3.9,
663,1999-01-16,,     3.9,
663,1999-01-17,,     3.9,
663,1999-01-18,,     4.3,
663,1999-01-19,,     4.6,
663,1999-01-20,,     4.8,
663,1999-01-21,,     4.9,
663,1999-01-22,,     5.5,
663,1999-01-23,,     5.8,
663,1999-01-24,,     5.8,
663,1999-01-25,,     5.8,
663,1999-01-26,,     5.8,
663,1999-01-27,,     6.0,
663,1999-01-28,,     6.0,
663,1999-01-29,,     6.0,
663,1999-01-30,,     6.0,
663,1999-01-31,,     6.0,
663,1999-02-01,,     6.0,
663,1999-02-02,,     6.1,
663,1999-02-03,,     6.1,
663,1999-02-04,,     6.1,
663,1999-02-05,,     6.0,
663,1999-02-06,,     6.0,
663,1999-02-07,,     6.0,
663,1999-02-08,,     6.0,
663,1999-02-09,,     6.0,
663,1999-02-10,,     6.0,
663,1999-02-11,,     6.2,
663,1999-02-12,,     6.2,
663,1999-02-13,,     6.2,
663,1999-02-14,,     6.2,
663,1999-02-15,,     6.2,
663,1999-02-16,,     6.3,
663,1999-02-17,,     6.3,
663,1999-02-18,,     6.6,
663,1999-02-19,,     6.6,
663,1999-02-20,,     6.9,
663,1999-02-21,,     6.9,
663,1999-02-22,,     6.9,
663,1999-02-23,,     6.9,
663,1999-02-24,,     7.2,
663,1999-02-25,,     7.2,
663,1999-02-26,,     7.2,
663,1999-02-27,,     7.2,
663,1999-02-28,,     7.2,
663,1999-03-01,,     7.2,
663,1999-03-02,,     7.3,
663,1999-03-03,,     7.3,
663,1999-03-04,,     7.3,
663,1999-03-05,,     7.6,
663,1999-03-06,,     7.9,
663,1999-03-07,,     7.9,
663,1999-03-08,,     7.9,
663,1999-03-09,,     7.9,
663,1999-03-10,,     7.9,
663,1999-03-11,,     8.2,
663,1999-03-12,,     8.2,
663,1999-03-13,,     8.7,
663,1999-03-14,,     8.6,
663,1999-03-15,,     8.4,
663,1999-03-16,,     8.5,
663,1999-03-17,,     8.5,
663,1999-03-18,,     8.5,
663,1999-03-19,,     8.4,
663,1999-03-20,,     8.3,
663,1999-03-21,,     8.2,
663,1999-03-22,,     8.2,
663,1999-03-23,,     8.2,
663,1999-03-24,,     8.1,
663,1999-03-25,,     8.2,
663,1999-03-26,,     8.0,
663,1999-03-27,,     7.7,
663,1999-03-28,,     8.0,
663,1999-03-29,,     8.2,
663,1999-03-30,,     7.8,
663,1999-03-31,,     7.7,
663,1999-04-01,,     7.6,
663,1999-04-02,,     7.7,
663,1999-04-03,,     7.9,
663,1999-04-04,,     8.0,
663,1999-04-05,,     7.8,
663,1999-04-06,,     7.9,
663,1999-04-07,,     7.6,
663,1999-04-08,,     7.5,
663,1999-04-09,,     8.3,
663,1999-04-10,,     8.2,
663,1999-04-11,,     8.1,
663,1999-04-12,,     7.6,
663,1999-04-13,,     7.7,
663,1999-04-14,,     7.7,
663,1999-04-15,,     8.8,
663,1999-04-16,,     9.2,
663,1999-04-17,,     9.3,
663,1999-04-18,,     8.9,
663,1999-04-19,,     8.8,
663,1999-04-20,,     8.7,
663,1999-04-21,,     8.6,
663,1999-04-22,,     9.3,
663,1999-04-23,,    10.9,
663,1999-04-24,,    11.3,
663,1999-04-25,,    11.2,
663,1999-04-26,,    11.2,
663,1999-04-27,,    11.3,
663,1999-04-28,,    11.2,
663,1999-04-29,,    11.8,
663,1999-04-30,,    12.6,
663,1999-05-01,,    13.9,
663,1999-05-02,,    14.5,
663,1999-05-03,,    14.7,
663,1999-05-04,,    14.7,
663,1999-05-05,,    14.6,
663,1999-05-06,,    14.5,
663,1999-05-07,,    14.3,
663,1999-05-08,,    14.0,
663,1999-05-09,,    13.6,
663,1999-05-10,,    13.1,
663,1999-05-11,,    13.6,
663,1999-05-12,,    13.4,
663,1999-05-13,,    13.1,
663,1999-05-14,,    12.4,
663,1999-05-15,,    12.1,
663,1999-05-16,,    11.7,
663,1999-05-17,,    11.8,
663,1999-05-18,,    11.4,
663,1999-05-19,,    10.7,
663,1999-05-20,,    10.3,
663,1999-05-21,,    10.0,
663,1999-05-22,,     9.1,
663,1999-05-23,,     8.3,
663,1999-05-24,,     7.2,
663,1999-05-25,,     6.9,
663,1999-05-26,,     6.0,
663,1999-05-27,,     5.5,
663,1999-05-28,,     5.0,
663,1999-05-29,,     3.8,
663,1999-05-30,,     2.7,
663,1999-05-31,,     1.6,
663,1999-06-01,,     1.3,
663,1999-06-02,,     0.7,
663,1999-06-03,,     0.5,
663,1999-06-04,,     0.1,
663,1999-06-05,,     0.0,
663,1999-06-06,,     0.0,
663,1999-06-07,,     0.0,
663,1999-06-08,,     0.0,
663,1999-06-09,,     0.0,
663,1999-06-10,,     0.0,
663,1999-06-11,,     0.0,
663,1999-06-12,,     0.0,
663,1999-06-13,,     0.0,
663,1999-06-14,,     0.0,
663,1999-06-15,,     0.0,
663,1999-06-16,,     0.0,
663,1999-06-17,,-99.9,
663,1999-06-18,,     0.0,
663,1999-06-19,,     0.0,
663,1999-06-20,,     0.0,
663,1999-06-21,,     0.0,
663,1999-06-22,,     0.0,
663,1999-06-23,,     0.0,
663,1999-06-24,,     0.0,
663,1999-06-25,,     0.0,
663,1999-06-26,,     0.0,
663,1999-06-27,,     0.0,
663,1999-06-28,,     0.0,
663,1999-06-29,,     0.0,
663,1999-06-30,,     0.0,
663,1999-07-01,,     0.0,
663,1999-07-02,,     0.0,
663,1999-07-03,,     0.0,
663,1999-07-04,,     0.0,
663,1999-07-05,,     0.0,
663,1999-07-06,,     0.0,
663,1999-07-07,,     0.0,
663,1999-07-08,,     0.0,
663,1999-07-09,,     0.0,
663,1999-07-10,,     0.0,
663,1999-07-11,,     0.0,
663,1999-07-12,,     0.0,
663,1999-07-13,,     0.0,
663,1999-07-14,,     0.0,
663,1999-07-15,,     0.0,
663,1999-07-16,,     0.0,
663,1999-07-17,,     0.0,
663,1999-07-18,,     0.0,
663,1999-07-19,,     0.0,
663,1999-07-20,,     0.0,
663,1999-07-21,,     0.0,
663,1999-07-22,,     0.0,
663,1999-07-23,,-99.9,
663,1999-07-24,,     0.0,
663,1999-07-25,,     0.0,
663,1999-07-26,,     0.0,
663,1999-07-27,,     0.0,
663,1999-07-28,,     0.0,
663,1999-07-29,,     0.0,
663,1999-07-30,,     0.0,
663,1999-07-31,,     0.0,
663,1999-08-01,,     0.0,
663,1999-08-02,,     0.0,
663,1999-08-03,,     0.0,
663,1999-08-04,,     0.0,
663,1999-08-05,,     0.0,
663,1999-08-06,,     0.0,
663,1999-08-07,,     0.0,
663,1999-08-08,,     0.0,
663,1999-08-09,,     0.0,
663,1999-08-10,,     0.0,
663,1999-08-11,,     0.0,
663,1999-08-12,,     0.0,
663,1999-08-13,,     0.0,
663,1999-08-14,,     0.0,
663,1999-08-15,,     0.0,
663,1999-08-16,,     0.0,
663,1999-08-17,,     0.0,
663,1999-08-18,,     0.0,
663,1999-08-19,,     0.0,
663,1999-08-20,,     0.0,
663,1999-08-21,,     0.0,
663,1999-08-22,,     0.0,
663,1999-08-23,,     0.0,
663,1999-08-24,,     0.0,
663,1999-08-25,,     0.0,
663,1999-08-26,,     0.0,
663,1999-08-27,,     0.0,
663,1999-08-28,,     0.0,
663,1999-08-29,,     0.0,
663,1999-08-30,,     0.0,
663,1999-08-31,,     0.0,
663,1999-09-01,,     0.0,
663,1999-09-02,,     0.0,
663,1999-09-03,,     0.0,
663,1999-09-04,,     0.0,
663,1999-09-05,,     0.0,
663,1999-09-06,,     0.0,
663,1999-09-07,,     0.0,
663,1999-09-08,,     0.0,
663,1999-09-09,,     0.0,
663,1999-09-10,,     0.0,
663,1999-09-11,,     0.0,
663,1999-09-12,,     0.0,
663,1999-09-13,,     0.0,
663,1999-09-14,,     0.0,
663,1999-09-15,,     0.0,
663,1999-09-16,,     0.0,
663,1999-09-17,,     0.0,
663,1999-09-18,,     0.0,
663,1999-09-19,,     0.0,
663,1999-09-20,,     0.0,
663,1999-09-21,,     0.0,
663,1999-09-22,,     0.0,
663,1999-09-23,,     0.0,
663,1999-09-24,,     0.0,
663,1999-09-25,,     0.0,
663,1999-09-26,,     0.0,
663,1999-09-27,,     0.0,
663,1999-09-28,,     0.0,
663,1999-09-29,,     0.0,
663,1999-09-30,,     0.0,
663,1999-09-30,23:59,     0.5,
663,1999-10-01,,     0.0,
663,1999-10-02,,     0.0,
663,1999-10-03,,     0.0,
663,1999-10-04,,     0.0,
663,1999-10-05,,     0.0,
663,1999-10-06,,     0.0,
663,1999-10-07,,     0.0,
663,1999-10-08,,     0.0,
663,1999-10-09,,     0.0,
663,1999-10-10,,     0.0,
663,1999-10-11,,     0.0,
663,1999-10-12,,     0.0,
663,1999-10-13,,     0.0,
663,1999-10-14,,     0.0,
663,1999-10-15,,     0.0,
663,1999-10-16,,     0.3,
663,1999-10-17,,     0.8,
663,1999-10-18,,     0.5,
663,1999-10-19,,     1.0,
663,1999-10-20,,     1.0,
663,1999-10-21,,     0.9,
663,1999-10-22,,     0.8,
663,1999-10-23,,     0.8,
663,1999-10-24,,     0.8,
663,1999-10-25,,     0.7,
663,1999-10-26,,     0.7,
663,1999-10-27,,     0.6,
663,1999-10-28,,     0.5,
663,1999-10-29,,     0.5,
663,1999-10-30,,     0.5,
663,1999-10-31,,     0.5,
663,1999-11-01,,     0.5,
663,1999-11-02,,     0.5,
663,1999-11-03,,     0.7,
663,1999-11-04,,     0.7,
663,1999-11-05,,     0.7,
663,1999-11-06,,     0.7,
663,1999-11-07,,     0.7,
663,1999-11-08,,     0.7,
663,1999-11-09,,     0.7,
663,1999-11-10,,     0.7,
663,1999-11-11,,     0.6,
663,1999-11-12,,     0.6,
663,1999-11-13,,     0.6,
663,1999-11-14,,     0.6,
663,1999-11-15,,     0.6,
663,1999-11-16,,     0.5,
663,1999-11-17,,     0.4,
663,1999-11-18,,     0.4,
663,1999-11-19,,     0.9,
663,1999-11-20,,     0.9,
663,1999-11-21,,     0.9,
663,1999-11-22,,     1.2,
663,1999-11-23,,     1.6,
663,1999-11-24,,     1.8,
663,1999-11-25,,     1.8,
663,1999-11-26,,     1.7,
663,1999-11-27,,     1.6,
663,1999-11-28,,     1.6,
663,1999-11-29,,     1.6,
663,1999-11-30,,     1.6,
663,1999-12-01,,     1.6,
663,1999-12-02,,     1.6,
663,1999-12-03,,     1.6,
663,1999-12-04,,     2.4,
663,1999-12-05,,     2.4,
663,1999-12-06,,     2.4,
663,1999-12-07,,     2.5,
663,1999-12-08,,     2.5,
663,1999-12-09,,     2.8,
663,1999-12-10,,     2.8,
663,1999-12-11,,     2.8,
663,1999-12-12,,     2.8,
663,1999-12-13,,     2.8,
663,1999-12-14,,     2.8,
663,1999-12-15,,     2.8,
663,1999-12-16,,     3.0,
663,1999-12-17,,     3.0,
663,1999-12-18,,     3.0,
663,1999-12-19,,     3.2,
663,1999-12-20,,     3.4,
663,1999-12-21,,     3.5,
663,1999-12-22,,     3.6,
663,1999-12-23,,     3.6,
663,1999-12-24,,     3.6,
663,1999-12-25,,     3.6,
663,1999-12-26,,     3.6,
663,1999-12-27,,     3.6,
663,1999-12-28,,     3.6,
663,1999-12-29,,     3.6,
663,1999-12-30,,     3.6,
663,1999-12-31,,     3.6,




